,loss,lr,rank,nheads,dim,num_points
166,0.5288465023040771,0.01,1,2048,128,2
167,0.3270271420478821,0.01,1,2,4,2
168,0.1157402545213699,0.01,1,128,4,2
169,1.997739672660828,0.1,1,8192,128,2
170,0.4953474402427673,0.01,1,512,64,2
171,0.5006709098815918,0.01,1,64,128,2
172,0.1581707745790481,0.001,1,64,8,2
173,0.1604441255331039,0.001,1,16,8,2
174,0.5151224136352539,0.01,1,1024,128,2
175,0.4315359890460968,0.1,1,4,16,2
176,0.4967008829116821,0.1,1,2,128,2
177,0.1721580475568771,0.001,1,1024,16,2
178,2.022562026977539,0.001,1,16384,8,2
179,0.1716081947088241,0.1,1,64,16,2
180,0.4968405961990356,0.01,1,32,128,2
181,0.4163261353969574,0.01,1,16,64,2
182,0.1849337518215179,0.01,1,256,32,2
183,0.1665207892656326,0.1,1,2048,8,2
184,0.5108241438865662,0.1,1,64,128,2
185,0.1587879061698913,0.1,1,32,8,2
186,0.4974813759326935,0.001,1,8,64,2
187,0.1301014274358749,0.1,1,16,4,2
188,0.4997979402542114,0.001,1,8,128,2
189,0.3429900407791137,0.01,1,2048,32,2
190,1.918504357337952,0.1,1,8192,32,2
191,2.002794027328491,0.001,1,4096,128,2
192,0.160595566034317,0.01,1,8,8,2
193,0.4889437556266784,0.001,1,2,32,2
194,0.1908228695392608,0.1,1,64,32,2
195,0.204525277018547,0.001,1,8,8,2
196,0.2574579417705536,0.1,1,4,4,2
197,0.4937912225723266,0.1,1,1,64,2
198,0.4175291359424591,0.1,1,8,32,2
199,0.1626099795103073,0.01,1,4096,8,2
200,0.1340182423591613,0.01,1,8,4,2
201,0.5134794116020203,0.01,1,2048,64,2
202,1.8642349243164065,0.1,1,8192,16,2
203,0.4962649941444397,0.01,1,16,128,2
204,0.3720621764659881,0.1,1,4,8,2
205,0.4945394098758697,0.01,1,1,64,2
206,0.3368947207927704,0.001,1,1024,32,2
207,0.5230992436408997,0.1,1,128,128,2
208,0.4075979888439178,0.001,1,8192,4,2
209,0.5039887428283691,0.1,1,16,128,2
210,0.1706010401248932,0.001,1,128,16,2
211,1.9930158853530884,0.01,1,8192,128,2
212,0.133129745721817,0.1,1,512,4,2
213,0.1338243335485458,0.001,1,512,4,2
214,0.5012764930725098,0.001,1,256,128,2
215,0.1793800145387649,0.01,1,64,32,2
216,0.4607452750205993,0.001,1,4,16,2
217,0.4886761903762817,0.01,1,2,64,2
218,1.9937498569488523,0.001,1,2048,128,2
219,0.1283699870109558,0.01,1,2048,4,2
220,0.1157924681901931,0.01,1,64,4,2
221,0.1807789653539657,0.01,1,16384,8,2
222,0.442519873380661,0.01,1,256,64,2
223,0.134196251630783,0.001,1,1024,4,2
224,0.1373760402202606,0.01,1,4,4,2
225,1.9889044761657717,0.1,1,2048,128,2
226,0.1734793335199356,0.01,1,512,16,2
227,0.3287480473518371,0.001,1,128,32,2
228,0.3718558549880981,0.1,1,128,32,2
229,0.1224573031067848,0.01,1,32,4,2
230,0.1720183789730072,0.1,1,16,16,2
231,1.9908676147460935,0.1,1,8192,64,2
232,0.3949014246463775,0.1,1,1,4,2
233,1.5583860874176023,0.1,1,1024,64,2
234,0.4175163209438324,0.001,1,64,32,2
235,1.8756928443908687,0.001,1,8192,16,2
236,0.3276028037071228,0.1,1,2,4,2
237,1.9960567951202397,0.1,1,16384,128,2
238,0.1451609879732132,0.1,1,8192,4,2
239,0.4482553601264953,0.1,1,1,8,2
240,0.4542772769927978,0.1,1,2,16,2
241,0.1345106810331344,0.001,1,16,4,2
242,0.1693059355020523,0.001,1,256,16,2
