dim,H,seed,Squared Error
64,2048,2,0.4429555991664529
64,1024,2,0.4682827303186059
64,512,2,0.4845502022653818
64,256,2,0.49333969689905643
64,128,2,0.4999734777957201
64,64,2,0.5059812059625983
64,32,2,0.5148614123463631
64,16,2,0.5252266973257065
64,8,2,0.5517479944974184
64,4,2,0.5976506341248751
64,2,2,0.6721761394292116
64,1,2,0.7456482779234648
32,16384,2,0.20414427109062672
32,8192,2,0.2278993776999414
32,4096,2,0.26696703862398863
32,2048,2,0.3250233447179198
32,1024,2,0.3919964265078306
32,512,2,0.4413273464888334
32,256,2,0.4687320040538907
32,128,2,0.48172710090875626
32,64,2,0.5027222335338593
32,32,2,0.5128008900210261
32,16,2,0.5250131506472826
32,8,2,0.5524780992418528
32,4,2,0.596783172339201
32,2,2,0.6626427564769983
32,1,2,0.7206403389573097
16,16384,2,0.17867747135460377
16,8192,2,0.18575594015419483
16,4096,2,0.1959778591990471
16,2048,2,0.2169574941508472
16,1024,2,0.26744530024006963
16,512,2,0.3196465075016022
16,256,2,0.3827337361872196
16,128,2,0.4519179202616215
16,64,2,0.47473629750311375
16,32,2,0.502411738038063
16,16,2,0.5241016838699579
16,8,2,0.5495324265211821
16,4,2,0.5937181785702705
16,2,2,0.6185038965195417
16,1,2,0.7195229399949312
8,16384,2,0.16027458617463708
8,8192,2,0.16266439715400338
8,4096,2,0.16646473435685039
8,2048,2,0.17274824250489473
8,1024,2,0.18656222522258759
8,512,2,0.20621073059737682
8,256,2,0.2515772138722241
8,128,2,0.3336617462337017
8,64,2,0.3979627536609769
8,32,2,0.446040409617126
8,16,2,0.5121664553880692
8,8,2,0.519387443549931
8,4,2,0.5126670273020864
8,2,2,0.607221320271492
8,1,2,0.7055575009435415
4,16384,2,0.08841813099570572
4,8192,2,0.10043189115822315
4,4096,2,0.11243944056332111
4,2048,2,0.12527061207219958
4,1024,2,0.13596770213916898
4,512,2,0.14495579292997718
4,256,2,0.15725116478279233
4,128,2,0.1781998542137444
4,64,2,0.23110099229961634
4,32,2,0.2849076520651579
4,16,2,0.39176080096513033
4,8,2,0.3744132127612829
4,4,2,0.43424451164901257
4,2,2,0.5308964494615793
4,1,2,0.6188682168722153
64,16384,3,0.27582314517349005
64,8192,3,0.3334880666807294
64,4096,3,0.3969461480155587
64,2048,3,0.43996639270335436
64,1024,3,0.4682833505794406
64,512,3,0.48279089014977217
64,256,3,0.495218425989151
64,128,3,0.5008730171248317
64,64,3,0.5061209844425321
64,32,3,0.5133418068289757
64,16,3,0.5269709285348654
64,8,3,0.5540126133710146
